timestamp_iso,trial_id,group,condition,blink_time_s,valid,note
2026-02-08T22:37:55,1,B,friendly,2.008,1,
2026-02-08T22:38:04,2,A,friendly,2.0,1,
2026-02-08T22:38:18,3,A,unfriendly,2.002,1,
2026-02-08T22:39:50,1,B,friendly,0.6,1,
2026-02-08T22:40:03,2,A,unfriendly,2.001,1,
2026-02-08T22:40:17,3,A,unfriendly,1.214,1,
2026-02-08T22:40:24,4,A,unfriendly,1.408,1,
2026-02-08T22:42:07,1,A,unfriendly,2.003,1,
2026-02-08T22:42:21,2,A,friendly,2.001,1,
2026-02-08T22:42:32,3,A,unfriendly,0.375,1,
2026-02-08T22:42:43,4,A,friendly,0.698,1,
2026-02-08T22:42:58,5,B,unfriendly,2.006,1,
2026-02-08T22:43:09,6,B,unfriendly,2.001,1,
2026-02-08T22:43:22,7,A,unfriendly,0.258,1,
2026-02-08T22:43:33,8,B,friendly,2.005,1,
2026-02-08T22:43:41,9,B,friendly,2.003,1,
2026-02-08T22:43:49,10,A,friendly,2.003,1,
2026-02-08T22:43:59,11,A,friendly,2.007,1,
2026-02-08T22:44:15,12,A,unfriendly,0.65,1,
2026-02-08T23:49:19,1,B,unfriendly,16.655,1,
2026-02-08T23:53:47,1,B,unfriendly,35.282,1,
2026-02-09T00:01:34,1,A,unfriendly,5.778,1,
2026-02-09T00:01:49,2,A,unfriendly,3.595,1,
2026-02-09T00:02:09,3,A,friendly,6.745,1,
2026-02-09T00:02:38,4,A,friendly,10.285,1,
2026-02-09T00:20:55,1,A,unfriendly,7.557,1,
2026-02-09T00:24:02,2,A,friendly,9.659,1,
2026-02-09T00:24:31,3,B,friendly,18.186,1,
2026-02-09T00:25:52,1,A,unfriendly,17.993,1,
2026-02-09T00:26:20,2,A,friendly,15.216,1,
2026-02-09T00:27:18,3,B,unfriendly,1.122,1,
2026-02-09T00:27:32,4,A,friendly,3.934,1,
2026-02-09T00:27:50,5,B,friendly,9.257,1,
2026-02-09T00:28:09,6,A,unfriendly,10.491,1,
2026-02-09T00:28:28,7,B,friendly,6.43,1,
2026-02-10T19:01:38,1,A,unfriendly,2.604,1,
2026-02-10T19:05:01,1,A,friendly,1.071,1,
2026-02-10T19:05:14,2,B,friendly,0.193,1,
2026-02-10T19:05:27,3,A,unfriendly,6.202,1,
2026-02-10T21:52:00,1,B,unfriendly,3.725,1,
2026-02-10T21:52:41,2,A,unfriendly,25.523,1,
2026-02-10T21:53:14,3,B,friendly,13.993,1,
2026-02-10T21:53:28,4,A,unfriendly,1.916,1,
2026-02-10T21:53:39,5,A,friendly,3.681,1,
2026-02-10T21:53:48,6,A,unfriendly,1.037,1,
2026-02-10T21:53:57,7,A,unfriendly,1.639,1,
2026-02-10T21:54:03,8,A,unfriendly,0.203,1,
2026-02-10T21:54:19,9,A,unfriendly,7.519,1,
2026-02-10T21:54:27,10,B,unfriendly,1.204,1,
2026-02-10T21:54:49,11,A,friendly,9.893,1,
2026-02-13T19:15:09,1,A,friendly,0.447,1,
2026-02-13T22:04:09,1,A,unfriendly,3.361,1,
2026-02-13T22:04:19,2,B,unfriendly,0.963,1,
2026-02-13T22:04:28,3,B,friendly,2.028,1,
2026-02-13T22:04:49,4,A,unfriendly,0.081,1,
2026-02-14T00:45:26,1,B,friendly,1.656,1,
2026-02-14T01:02:22,1,B,unfriendly,0.462,1,
2026-02-14T01:02:38,2,B,friendly,3.549,1,
2026-02-14T01:02:53,3,B,unfriendly,2.731,1,
2026-02-14T01:10:48,1,A,friendly,0.193,1,
2026-02-14T01:11:19,2,B,unfriendly,5.272,1,
2026-02-14T01:11:55,3,B,friendly,1.222,1,
2026-02-14T01:12:07,4,B,unfriendly,1.187,1,
2026-02-14T02:17:13,1,B,friendly,9.353,1,
2026-02-14T02:17:53,2,A,friendly,10.578,1,
2026-02-14T02:18:01,3,A,friendly,1.086,1,
2026-02-14T02:22:07,1,A,unfriendly,20.304,1,
2026-02-14T02:22:24,2,B,friendly,0.225,1,
2026-02-14T02:22:50,3,B,unfriendly,16.641,1,
2026-02-14T02:23:05,4,A,unfriendly,6.5,1,
2026-02-14T02:23:22,5,B,unfriendly,10.711,1,
2026-02-14T02:23:43,6,A,unfriendly,2.187,1,
2026-02-14T02:23:59,7,B,unfriendly,7.428,1,
2026-02-14T02:24:10,8,B,friendly,0.198,1,
2026-02-14T02:24:33,9,A,unfriendly,3.148,1,
2026-02-14T02:36:07,1,B,unfriendly,11.918,1,
2026-02-14T02:37:07,2,B,unfriendly,6.016,1,
2026-02-14T02:37:21,3,B,unfriendly,1.891,1,
2026-02-14T02:37:30,4,B,unfriendly,0.369,1,
2026-02-14T02:37:38,5,B,friendly,0.113,1,
2026-02-14T02:37:48,6,B,friendly,0.335,1,
2026-02-14T02:38:02,7,A,unfriendly,7.515,1,
2026-02-14T02:38:14,8,A,unfriendly,3.542,1,
2026-02-14T02:38:23,9,B,unfriendly,1.201,1,
2026-02-14T02:38:30,10,B,unfriendly,0.549,1,
2026-02-14T02:38:44,11,A,friendly,0.983,1,
2026-02-14T02:39:21,12,B,unfriendly,20.144,1,
2026-02-14T15:19:00,1,B,unfriendly,2.111,1,
2026-02-14T15:19:09,2,B,friendly,1.628,1,
2026-02-14T15:28:42,1,B,unfriendly,1.264,1,
2026-02-14T15:28:53,2,A,friendly,1.805,1,
2026-02-14T15:32:47,3,B,friendly,6.408,1,
2026-02-14T15:42:27,1,A,friendly,0.224,1,
2026-02-14T15:42:41,2,B,friendly,5.516,1,
2026-02-14T15:54:25,1,B,friendly,3.784,1,
2026-02-14T15:54:36,2,A,unfriendly,0.259,1,
2026-02-14T15:54:45,3,B,unfriendly,0.46,1,
2026-02-14T15:55:01,4,B,friendly,0.388,1,
2026-02-14T15:55:09,5,A,friendly,0.404,1,
2026-02-14T15:55:34,6,B,friendly,5.688,1,
2026-02-14T15:55:45,7,A,unfriendly,0.356,1,
2026-02-14T15:56:00,8,A,unfriendly,3.412,1,
2026-02-14T15:56:14,9,A,unfriendly,6.068,1,
2026-02-14T15:56:23,10,A,friendly,1.711,1,
2026-02-14T16:04:53,11,A,friendly,4.817,1,
2026-02-14T16:05:04,12,A,unfriendly,1.573,1,
2026-02-14T16:05:17,13,B,friendly,5.621,1,
2026-02-14T16:05:28,14,A,friendly,2.348,1,
2026-02-14T16:05:43,15,B,unfriendly,7.958,1,
2026-02-14T16:05:53,16,A,friendly,2.44,1,
2026-02-14T16:06:02,17,B,unfriendly,0.985,1,
2026-02-14T16:06:14,18,A,unfriendly,4.442,1,
2026-02-14T16:08:33,19,B,friendly,2.987,1,
2026-02-14T16:08:45,20,B,unfriendly,4.366,1,
2026-02-14T16:08:57,21,A,unfriendly,4.342,1,
2026-02-14T16:09:09,22,B,friendly,5.07,1,
2026-02-14T16:12:52,23,A,unfriendly,3.919,1,
2026-02-14T16:13:02,24,A,unfriendly,2.979,1,
2026-02-14T16:13:17,25,A,unfriendly,3.699,1,
2026-02-14T16:13:25,26,B,friendly,0.159,1,
2026-02-14T16:13:39,27,A,unfriendly,0.125,1,
2026-02-14T16:13:46,28,A,unfriendly,0.548,1,
2026-02-14T16:13:54,29,B,unfriendly,1.93,1,
2026-02-14T16:14:08,30,A,unfriendly,4.193,1,
2026-02-14T16:14:16,31,B,unfriendly,1.128,1,
2026-02-14T16:14:25,32,A,unfriendly,1.45,1,
2026-02-14T16:14:34,33,A,friendly,3.213,1,
2026-02-14T16:14:43,34,B,unfriendly,0.401,1,
2026-02-14T16:14:51,35,B,unfriendly,1.055,1,
2026-02-14T16:15:02,36,B,friendly,3.838,1,
2026-02-14T16:15:21,37,A,unfriendly,3.051,1,
2026-02-14T16:15:28,38,A,friendly,0.287,1,
2026-02-14T16:15:36,39,A,unfriendly,0.191,1,
2026-02-14T16:15:43,40,A,friendly,0.652,1,
2026-02-14T16:15:54,41,B,friendly,4.427,1,
2026-02-14T16:17:11,42,A,unfriendly,1.385,1,
2026-02-14T16:17:24,43,A,unfriendly,4.215,1,
2026-02-14T16:18:34,44,A,friendly,4.55,1,
2026-02-14T16:18:46,45,A,unfriendly,5.921,1,
2026-02-14T16:18:57,46,A,friendly,3.041,1,
2026-02-14T16:19:28,47,A,unfriendly,2.955,1,
2026-02-14T16:19:35,48,A,unfriendly,0.499,1,
2026-02-14T16:19:45,49,A,friendly,0.298,1,
2026-02-14T16:20:07,50,B,unfriendly,0.73,1,
2026-02-14T16:20:57,51,B,friendly,0.169,1,
2026-02-14T16:21:27,52,A,unfriendly,2.107,1,
2026-02-14T16:21:59,53,A,unfriendly,8.103,1,
2026-02-14T16:26:48,54,A,unfriendly,0.199,1,
2026-02-14T16:27:01,55,A,friendly,1.319,1,
2026-02-14T16:27:14,56,A,friendly,3.63,1,
2026-02-14T16:27:27,57,A,friendly,1.834,1,
2026-02-14T16:32:57,58,B,friendly,3.279,1,
2026-03-15T21:20:23,1,,,0.773,1,
2026-03-15T21:20:43,2,A,unfriendly,7.075,1,
2026-03-15T21:20:58,3,A,unfriendly,3.674,1,
2026-03-15T21:21:14,4,B,friendly,6.227,1,
